_	5618513
e	3349405
a	2472648
t	2385351
i	2136453
n	2072657
o	2041017
s	1861834
r	1840141
h	1348654
l	1177631
d	1110269
e_	960540
c	928433
_t	799040
u	734056
m	718720
s_	677983
th	673831
_a	669798
he	648509
f	644539
in	589624
p	564429
g	556020
d_	551737
n_	537150
_th	523246
the	479463
er	476472
he_	472410
w	471589
an	468958
b	452118
y	433021
t_	394747
_o	378498
on	366831
_s	361661
re	359796
_i	356295
r_	307478
ed	305625
_w	301747
_c	294938
nd	294903
at	294898
or	293319
v	293186
te	287170
en	283564
ar	272147
y_	266596
es	262546
is	261826
al	253203
ed_	252539
_b	252113
it	251772
ti	248884
st	247955
as	246263
_f	237865
_h	237738
to	230653
_p	225713
of	224039
f_	222055
ng	221299
o_	220253
_of	216415
_an	214426
_in	212593
and	212060
in_	207718
nd_	207088
nt	206335
of_	203987
_m	203000
k	199390
a_	197867
le	187636
se	183775
ri	177888
de	176145
ro	174321
ve	172862
co	172484
ing	168612
_r	168580
hi	168021
me	167005
ra	162978
ea	162905
l_	162764
_to	162296
er_	162056
ha	161615
_d	160851
g_	158699
ne	154856
as_	154251
io	152902
ng_	151884
ou	150183
h_	148362
ic	148236
to_	148161
la	144937
li	138112
on_	137414
ch	137114
is_	136949
_l	135565
ma	134131
ll	134086
_e	132762
ca	132608
ion	128605
_a_	128298
ce	127522
be	123915
si	122766
el	122743
_co	121642
s_a	120941
om	120754
wa	119441
ta	117615
fo	116962
_n	109303
ur	108667
ho	107836
di	105349
il	103320
ent	102697
un	102251
n_t	101867
ns	100426
es_	100088
_re	99753
ec	99580
rs	98420
na	98402
tio	98147
_wa	97708
d_t	97266
am	96892
ac	96321
us	96128
tr	94241
_g	93810
so	93416
for	92577
or_	92532
pe	92260
ter	91644
ge	90399
lo	90198
ly	89331
ni	88659
ol	87178
an_	87110
ie	87097
ad	86933
_fo	86882
rt	86653
e_t	85244
et	84314
e_a	84236
al_	83946
pr	83738
m_	83589
_be	83008
re_	82996
at_	81495
wi	81457
ct	81426
no	79091
nc	78927
ot	77877
s_t	77415
ut	77127
ia	76658
was	76375
e_s	76021
ir	75991
ow	75925
f_t	75487
mo	75298
_is	75184
sh	75112
ate	74395
_ma	74310
po	74151
em	73669
ss	73119
ly_	73006
ee	72968
pa	72918
ati	72597
ai	72232
th_	72018
we	71769
mi	71607
her	71326
_u	70995
ts	70828
_he	68177
st_	67896
e_o	67494
his	67462
_wi	67281
_hi	67145
fi	66927
n_a	65851
_st	65487
_on	65317
ver	65276
d_a	64990
im	64741
e_c	64051
_pr	64022
_ha	63885
ted	63683
vi	63584
j	63376
_se	61850
s_o	61541
en_	61182
iv	61148
os	60946
all	59839
_as	59491
_ca	59465
t_t	59238
ul	59075
id	58692
ci	58122
wh	57951
ev	57582
e_w	57416
_de	56914
su	56120
it_	56007
ers	55593
ig	55221
_wh	55047
nt_	54799
fr	54770
pl	54558
x	54553
e_i	54485
tu	53797
ry	53446
ere	52343
ba	52182
op	52150
con	51780
ts_	51202
bo	51133
ith	51096
ag	49818
mp	49618
_al	49293
rd	49250
e_p	49236
ke	49178
e_f	49070
ay	48975
gh	48721
ty	48607
wit	48542
wo	48215
d_i	48114
fe	47998
ld	47981
r_t	47311
ga	46722
res	46646
ov	46485
oo	46441
_fr	46392
le_	45947
_ar	45861
tha	45605
_v	45498
_mo	45275
bu	44921
by	44568
rn	44548
ch_	44362
ive	44267
s_i	43946
com	43851
sta	43737
ons	43446
ap	43429
me_	43350
eve	42999
da	42793
gr	42706
k_	42679
e_b	42639
hat	42446
sa	42429
by_	42367
bl	42114
_so	42043
ab	41962
est	41579
ls	41371
ear	41332
ce_	41272
_no	41209
_fi	41184
e_m	41048
nce	41003
_pa	40917
rm	40377
ame	40129
d_b	39946
_j	39869
pro	39759
_k	39750
du	39749
t_i	39700
sp	39486
_at	39383
rom	38910
ll_	38845
_di	38817
oc	38813
t_o	38760
ist	38682
ve_	38672
are	38649
_ch	38513
rs_	38377
_by	38321
_po	38236
_we	38181
od	38072
se_	38070
t_a	38001
_la	37699
sc	37641
s_s	37615
ry_	37548
s_w	37479
av	37442
tt	37384
g_t	37150
ei	37111
cl	37102
n_o	37048
do	37031
_su	36972
te_	36960
om_	36814
_it	36756
int	36734
ck	36681
uc	36655
man	36633
z	36575
o_t	36348
ine	36346
men	36314
e_r	35952
w_	35933
e_h	35836
art	35820
rea	35327
gi	35310
ex	35288
fa	35060
_un	34939
ep	34763
ove	34715
cr	34705
ne_	34582
fro	34564
der	34387
ain	34331
_wo	34230
br	34128
ut_	34122
oun	33944
ica	33829
s_f	33557
ect	33545
ns_	33501
tin	33495
pi	33270
ue	33028
s_c	32800
per	32796
_li	32653
_sh	32645
tra	32583
au	32422
um	32364
d_s	32313
d_o	32273
red	32254
ess	32153
_ba	32077
iti	32040
e_d	32027
c_	31950
r_a	31558
_me	31512
nte	31467
ru	31451
n_i	31419
ste	31174
ua	31166
eg	31140
y_a	31024
rr	30785
ef	30772
ty_	30770
str	30743
_ne	30700
y_t	30682
if	30663
cu	30379
ide	30230
va	30084
_le	29970
lu	29938
ug	29930
ill	29870
out	29870
ort	29793
rin	29735
_tr	29705
ft	29633
cal	29567
one	29538
mb	29446
nal	29297
t_w	29292
ew	29214
_or	29079
tor	28930
par	28900
p_	28715
_lo	28695
r_o	28691
rc	28670
_si	28648
und	28622
ld_	28581
tur	28564
cti	28482
e_e	28468
up	28445
e_l	28391
ki	28359
lt	28293
ye	28293
_bu	28289
pp	27997
go	27962
_y	27939
s_b	27934
af	27804
ies	27794
nde	27728
eri	27558
ber	27427
_te	27359
_ho	27340
lan	27330
d_w	27143
pu	27140
n_s	26925
q	26891
ity	26845
ff	26750
rat	26738
_fa	26727
era	26692
_bo	26655
pla	26548
rl	26527
_mi	26513
use	26479
ic_	26441
ds	26406
ran	26341
_pe	26297
rk	26251
lat	26212
ore	26179
ant	26142
rg	26051
oth	25999
cha	25993
als	25890
nti	25886
eat	25831
ge_	25821
ar_	25809
tl	25713
bi	25704
s_p	25559
ey	25510
d_f	25508
thi	25486
_en	25448
sed	25432
nn	25370
ome	25215
d_h	25028
mu	24924
igh	24883
ad_	24877
qu	24755
age	24715
e_n	24680
tic	24619
ak	24617
din	24506
lle	24446
_gr	24414
wer	24270
ud	24256
_ex	24212
_sa	24070
pre	23932
mm	23909
wn	23892
whi	23835
ht	23834
gu	23806
y_o	23772
eas	23729
son	23611
can	23507
act	23391
a_s	23371
_pl	23348
lin	23340
_br	23335
rou	23230
ui	23222
ast	23150
lly	23063
n_c	22896
ned	22889
ite	22886
wor	22878
sti	22871
ich	22869
own	22868
h_a	22810
inc	22708
rie	22580
not	22535
ip	22524
ght	22517
h_t	22410
s_h	22407
ard	22388
ish	22290
de_	22205
i_	22203
_ro	22192
ian	22135
ral	22117
end	22108
tat	22090
een	21997
so_	21947
_na	21917
uni	21777
t_s	21654
min	21634
d_c	21589
ell	21551
n_w	21532
ont	21516
ona	21494
ub	21493
dr	21413
hic	21392
rec	21391
_sp	21368
ric	21277
our	21252
ny	21195
ele	21077
ure	21051
ins	20997
anc	20994
ren	20931
ay_	20860
fte	20855
ave	20851
_ac	20780
_ra	20773
enc	20758
be_	20735
ree	20725
has	20700
ord	20675
_sc	20655
ugh	20629
ten	20585
nat	20561
o_a	20494
e_g	20493
tho	20454
ser	20428
ime	20389
nu	20374
t_h	20372
og	20349
ern	20277
us_	20277
ssi	20213
han	20198
ded	20149
sin	20021
ph	19884
ces	19879
e_u	19871
n_b	19869
mer	19864
s_r	19826
ous	19826
cou	19712
lea	19708
ong	19702
s_d	19701
s_m	19636
r_s	19620
pt	19590
owe	19556
lso	19539
g_a	19520
ass	19505
oi	19464
she	19444
les	19369
ial	19310
f_a	19270
hou	19247
ina	19241
mar	19164
tw	19152
but	19135
hr	19112
n_h	19090
orm	19067
tri	19065
ble	19024
aft	18996
ot_	18982
rt_	18909
sio	18896
hen	18893
jo	18879
den	18852
ven	18794
l_a	18786
n_f	18719
cc	18709
eco	18694
_do	18649
rit	18628
led	18557
t_c	18539
ms	18411
ali	18378
_ti	18312
its	18307
lit	18298
lar	18292
des	18282
ind	18240
tim	18130
unt	18126
_us	18087
ost	18059
sto	17988
ss_	17894
oug	17890
ire	17836
ey_	17823
por	17805
a_c	17795
omp	17746
mbe	17734
hu	17705
r_i	17595
_go	17585
_da	17553
ari	17484
