_	4300197
о	2563655
а	2127574
н	1965111
и	1660222
і	1596543
в	1463566
т	1412423
р	1301671
е	1224154
с	1145549
к	965190
л	925107
д	899958
у	897231
м	810917
п	785635
я	622984
з	598302
ь	484391
_п	467832
г	419900
_в	419426
б	414691
о_	399871
и_	387683
а_	376258
і_	355433
на	351741
ч	340558
ст	327734
_н	310438
х	309069
_с	302147
_з	299026
ро	296257
й	292920
но	278196
ов	273401
я_	270937
у_	261489
ц	255926
ти	246732
ни	242219
ю	239888
_д	237547
ко	236659
ж	234080
по	233666
пр	224856
ра	223526
ва	219392
е_	218865
ан	215788
ї	213499
та	211934
ні	211135
ен	211132
_т	210746
ви	208265
ві	207588
ер	205091
го	198330
в_	190844
ог	185827
ал	185425
ор	182065
_м	181327
ш	180444
_р	175483
нн	174940
ос	174469
за	171286
_на	170019
во	168881
ом	168436
ть	168199
ри	167652
ід	167010
то	166651
_і	165695
_пр	165072
є	163976
ня	162594
не	162077
_к	158838
ре	157852
ли	156941
до	156870
_по	155198
ат	154630
од	151380
х_	148517
ль	146731
й_	144576
ого	142143
ав	141349
_б	139450
ів	137815
ь_	137469
_о	135860
на_	132680
ння	131781
_у	127919
ка	126286
об	126126
ці	125545
_за	123690
ла	123388
их	122192
ки	122102
ол	120772
м_	119129
ї_	118490
мо	118313
ит	118245
го_	116913
щ	116374
ло	115250
он	114789
ма	113898
те	112926
ін	112053
ин	111505
ся	110792
ис	108983
лі	108934
рі	108684
ми	107318
им	104153
ня_	104000
ас	102933
их_	100939
ті	100054
ив	99209
_ви	99201
ар	99024
ти_	97871
ьк	97548
тр	96209
мі	96117
_і_	95435
_до	95246
да	95028
іс	94947
про	94452
від	94151
ле	93016
_не	92314
ть_	92033
сь	91861
пе	91752
ди	91709
_ві	91398
ий	91086
ак	90809
ик	90299
іл	88476
як	87998
ам	86610
з_	86376
ку	86120
_а	85925
ф	84544
ад	84419
_я	83948
ся_	83931
ні_	83734
ув	81452
му	81065
кі	80967
вн	80906
ді	80603
ої	79307
_ро	78815
дн	78155
ля	78032
енн	77526
ок	77127
ю_	77003
бу	76719
що	76434
де	76249
ту	76130
не_	76078
ій	76015
от	74926
пі	74450
_та	74175
оз	74136
_г	73731
чи	72367
_щ	72035
ьн	71852
льн	71812
ча	71777
ме	71746
ий_	71563
_в_	71398
кр	71285
ати	70689
_як	68628
ува	68497
анн	68068
_ч	67831
_ко	67696
ост	66811
ру	66791
при	66567
к_	66298
ої_	66259
ере	66250
є_	66186
чн	66030
га	65264
ну	65094
іт	65007
ста	64796
сп	64759
_ст	64044
зн	63786
_ц	63224
пер	63113
же	63086
ве	62806
_що	62484
бо	62255
_л	61527
ськ	61128
іст	59912
ми_	59648
що_	59097
ьс	59083
ів_	58498
со	58158
них	57276
_з_	57204
ем	55393
ван	54679
ою	54286
_у_	54173
ож	54082
ду	53908
ає	53440
ут	53383
нт	52304
ії	52224
це	52188
ли_	52177
вс	52006
ил	51958
сл	51707
із	51695
_пе	51607
ому	51589
_мо	51537
ься	51343
тьс	51323
си	51224
д_	51200
ед	51107
су	51083
ел	50744
му_	50601
аль	50486
сі	50412
та_	50325
ет	49985
сн	49882
іль	49499
ац	49393
тв	49392
_бу	49348
че	49260
о_в	48853
ес	48718
ук	48517
ют	48419
ек	48003
св	47860
роз	47830
ич	47774
ул	47604
па	47465
хо	47176
но_	47158
ба	46897
лю	46799
о_п	46765
ки_	46695
оп	46233
сті	46222
ах	46106
се	46080
до_	45615
аз	45557
кт	44967
бі	44903
пра	44901
ють	44842
ног	44595
_ма	44072
и_в	44014
_пі	43815
ови	43788
і_п	43490
а_п	42995
аг	42934
и_п	42695
пов	42096
оло	41726
ай	41401
ові	41386
аці	40995
ач	40987
ово	40645
ова	40442
кл	40395
ою_	40379
_й	39987
_сп	39694
н_	39689
оч	39560
уд	39360
_то	39131
зна	39087
ист	38935
ск	38859
ьо	38837
сто	38812
вл	38667
са	38610
ний	38298
нь	38228
ше	38161
_ф	37850
зв	37823
